"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"V1",1,-0.18,0.26,0.24,-0.67,0.12,0.67,0.88,0.15,0.03,-0.27,0.19,0.21,0.04,-0.24,-0.01,0.25,-0.24,0.05
"V2",-0.18,1,0.52,0.39,0.58,0.14,0.48,-0.01,-0.56,-0.18,-0.12,-0.41,-0.28,0.33,-0.24,-0.67,0.54,0.21,-0.27
"V3",0.26,0.52,1,0.52,0.23,0.39,0.48,0.23,-0.39,-0.29,-0.07,-0.19,0.42,0.23,0.01,-0.31,0.23,-0.1,0.21
"V4",0.24,0.39,0.52,1,-0.1,0.62,0.66,0.33,-0.54,-0.45,0.3,-0.61,0.59,0.83,-0.5,-0.84,0.49,0.34,-0.33
"V5",-0.67,0.58,0.23,-0.1,1,0.17,-0.27,-0.55,-0.39,-0.01,-0.1,-0.05,-0.34,-0.06,0.24,-0.2,0.05,-0.07,0.16
"V6",0.12,0.14,0.39,0.62,0.17,1,0.28,0.02,-0.66,-0.33,0.26,-0.15,0.42,0.5,-0.16,-0.52,0.14,0.05,0.07
"V7",0.67,0.48,0.48,0.66,-0.27,0.28,1,0.75,-0.44,-0.39,-0.21,-0.24,0.08,0.61,-0.5,-0.67,0.73,0.15,-0.31
"V8",0.88,-0.01,0.23,0.33,-0.55,0.02,0.75,1,0.02,-0.01,-0.21,0.04,0.04,0.22,-0.37,-0.22,0.61,-0.18,-0.02
"V9",0.15,-0.56,-0.39,-0.54,-0.39,-0.66,-0.44,0.02,1,0.52,-0.26,0.36,0.07,-0.68,0.38,0.72,-0.6,-0.41,0.25
"V10",0.03,-0.18,-0.29,-0.45,-0.01,-0.33,-0.39,-0.01,0.52,1,0.26,-0.1,-0.25,-0.76,-0.18,0.47,-0.32,-0.01,-0.12
"V11",-0.27,-0.12,-0.07,0.3,-0.1,0.26,-0.21,-0.21,-0.26,0.26,1,-0.74,0.34,0.16,-0.6,-0.15,-0.04,0.72,-0.51
"V12",0.19,-0.41,-0.19,-0.61,-0.05,-0.15,-0.24,0.04,0.36,-0.1,-0.74,1,-0.28,-0.43,0.79,0.58,-0.28,-0.84,0.79
"V13",0.21,-0.28,0.42,0.59,-0.34,0.42,0.08,0.04,0.07,-0.25,0.34,-0.28,1,0.3,-0.03,-0.09,-0.3,0.07,0.07
"V14",0.04,0.33,0.23,0.83,-0.06,0.5,0.61,0.22,-0.68,-0.76,0.16,-0.43,0.3,1,-0.42,-0.87,0.64,0.4,-0.36
"V15",-0.24,-0.24,0.01,-0.5,0.24,-0.16,-0.5,-0.37,0.38,-0.18,-0.6,0.79,-0.03,-0.42,1,0.54,-0.52,-0.8,0.87
"V16",-0.01,-0.67,-0.31,-0.84,-0.2,-0.52,-0.67,-0.22,0.72,0.47,-0.15,0.58,-0.09,-0.87,0.54,1,-0.72,-0.4,0.47
"V17",0.25,0.54,0.23,0.49,0.05,0.14,0.73,0.61,-0.6,-0.32,-0.04,-0.28,-0.3,0.64,-0.52,-0.72,1,0.19,-0.28
"V18",-0.24,0.21,-0.1,0.34,-0.07,0.05,0.15,-0.18,-0.41,-0.01,0.72,-0.84,0.07,0.4,-0.8,-0.4,0.19,1,-0.91
"V19",0.05,-0.27,0.21,-0.33,0.16,0.07,-0.31,-0.02,0.25,-0.12,-0.51,0.79,0.07,-0.36,0.87,0.47,-0.28,-0.91,1
