"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"V1",1,-0.01,0.85,0.77,-0.51,0.81,0.85,0.65,-0.16,0.29,0.62,0.04,0.14,-0.22,-0.44,-0.76,-0.09,0.41,-0.81
"V2",-0.01,1,-0.09,0.06,0.22,-0.16,0.01,0.06,-0.11,0.02,0.17,0,0.17,0.41,0.24,0.13,0.5,0.21,0.14
"V3",0.85,-0.09,1,0.78,-0.37,0.68,0.84,0.63,-0.2,0.58,0.79,0.22,0.38,-0.25,-0.73,-0.77,-0.06,0.24,-0.85
"V4",0.77,0.06,0.78,1,-0.71,0.69,0.84,0.9,0.28,0.67,0.89,0.43,0.54,-0.44,-0.7,-0.94,-0.41,-0.1,-0.73
"V5",-0.51,0.22,-0.37,-0.71,1,-0.44,-0.37,-0.71,-0.71,-0.26,-0.42,-0.26,-0.26,0.79,0.34,0.71,0.79,0.41,0.46
"V6",0.81,-0.16,0.68,0.69,-0.44,1,0.88,0.72,-0.1,0.21,0.53,0.18,0.28,-0.39,-0.5,-0.75,-0.07,0.29,-0.78
"V7",0.85,0.01,0.84,0.84,-0.37,0.88,1,0.72,-0.19,0.44,0.75,0.17,0.3,-0.23,-0.6,-0.8,-0.07,0.33,-0.83
"V8",0.65,0.06,0.63,0.9,-0.71,0.72,0.72,1,0.35,0.6,0.84,0.43,0.59,-0.51,-0.74,-0.95,-0.34,-0.1,-0.73
"V9",-0.16,-0.11,-0.2,0.28,-0.71,-0.1,-0.19,0.35,1,0.23,0.1,0.45,0.4,-0.63,-0.06,-0.23,-0.71,-0.85,0.15
"V10",0.29,0.02,0.58,0.67,-0.26,0.21,0.44,0.6,0.23,1,0.87,0.74,0.8,-0.05,-0.83,-0.62,-0.18,-0.35,-0.32
"V11",0.62,0.17,0.79,0.89,-0.42,0.53,0.75,0.84,0.1,0.87,1,0.5,0.67,-0.18,-0.86,-0.86,-0.14,-0.03,-0.68
"V12",0.04,0,0.22,0.43,-0.26,0.18,0.17,0.43,0.45,0.74,0.5,1,0.91,-0.11,-0.51,-0.34,-0.2,-0.65,0.09
"V13",0.14,0.17,0.38,0.54,-0.26,0.28,0.3,0.59,0.4,0.8,0.67,0.91,1,-0.2,-0.63,-0.45,-0.04,-0.52,-0.14
"V14",-0.22,0.41,-0.25,-0.44,0.79,-0.39,-0.23,-0.51,-0.63,-0.05,-0.18,-0.11,-0.2,1,0.29,0.5,0.68,0.46,0.46
"V15",-0.44,0.24,-0.73,-0.7,0.34,-0.5,-0.6,-0.74,-0.06,-0.83,-0.86,-0.51,-0.63,0.29,1,0.81,0.21,0.11,0.66
"V16",-0.76,0.13,-0.77,-0.94,0.71,-0.75,-0.8,-0.95,-0.23,-0.62,-0.86,-0.34,-0.45,0.5,0.81,1,0.43,0.01,0.82
"V17",-0.09,0.5,-0.06,-0.41,0.79,-0.07,-0.07,-0.34,-0.71,-0.18,-0.14,-0.2,-0.04,0.68,0.21,0.43,1,0.61,0.12
"V18",0.41,0.21,0.24,-0.1,0.41,0.29,0.33,-0.1,-0.85,-0.35,-0.03,-0.65,-0.52,0.46,0.11,0.01,0.61,1,-0.38
"V19",-0.81,0.14,-0.85,-0.73,0.46,-0.78,-0.83,-0.73,0.15,-0.32,-0.68,0.09,-0.14,0.46,0.66,0.82,0.12,-0.38,1
