"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"V1",1,0.63,0.77,0.9,-0.42,0.81,0.68,0.77,-0.01,-0.03,0.33,-0.36,-0.28,-0.66,-0.59,-0.9,-0.31,0.33,-0.55
"V2",0.63,1,0.7,0.69,0.28,0.67,0.78,0.59,-0.52,0.1,0.61,-0.36,-0.24,-0.15,-0.73,-0.69,0.07,0.6,-0.89
"V3",0.77,0.7,1,0.67,-0.32,0.83,0.78,0.5,-0.31,-0.07,0.48,-0.35,-0.12,-0.62,-0.77,-0.68,-0.2,0.35,-0.78
"V4",0.9,0.69,0.67,1,-0.31,0.77,0.82,0.77,-0.1,0.19,0.59,-0.27,-0.25,-0.41,-0.56,-0.98,-0.21,0.39,-0.58
"V5",-0.42,0.28,-0.32,-0.31,1,-0.34,-0.12,-0.16,-0.22,0.23,0.22,0.21,0.23,0.49,-0.18,0.28,0.38,-0.01,-0.1
"V6",0.81,0.67,0.83,0.77,-0.34,1,0.88,0.68,-0.13,-0.09,0.49,-0.31,-0.24,-0.65,-0.65,-0.71,-0.59,0.26,-0.69
"V7",0.68,0.78,0.78,0.82,-0.12,0.88,1,0.55,-0.35,0.21,0.73,-0.2,-0.15,-0.32,-0.77,-0.79,-0.27,0.28,-0.78
"V8",0.77,0.59,0.5,0.77,-0.16,0.68,0.55,1,0.3,0.18,0.49,-0.04,0.04,-0.49,-0.3,-0.67,-0.49,0.26,-0.3
"V9",-0.01,-0.52,-0.31,-0.1,-0.22,-0.13,-0.35,0.3,1,0.22,-0.09,0.62,0.59,-0.35,0.35,0.16,-0.56,-0.67,0.75
"V10",-0.03,0.1,-0.07,0.19,0.23,-0.09,0.21,0.18,0.22,1,0.42,0.71,0.62,0.41,-0.13,-0.24,0.19,-0.39,0.18
"V11",0.33,0.61,0.48,0.59,0.22,0.49,0.73,0.49,-0.09,0.42,1,0.18,0.33,-0.15,-0.6,-0.53,-0.14,0.13,-0.49
"V12",-0.36,-0.36,-0.35,-0.27,0.21,-0.31,-0.2,-0.04,0.62,0.71,0.18,1,0.9,0.16,0.15,0.28,-0.13,-0.75,0.58
"V13",-0.28,-0.24,-0.12,-0.25,0.23,-0.24,-0.15,0.04,0.59,0.62,0.33,0.9,1,-0.01,0.01,0.26,-0.12,-0.65,0.45
"V14",-0.66,-0.15,-0.62,-0.41,0.49,-0.65,-0.32,-0.49,-0.35,0.41,-0.15,0.16,-0.01,1,0.41,0.36,0.67,0.05,0.21
"V15",-0.59,-0.73,-0.77,-0.56,-0.18,-0.65,-0.77,-0.3,0.35,-0.13,-0.6,0.15,0.01,0.41,1,0.64,0.04,-0.08,0.74
"V16",-0.9,-0.69,-0.68,-0.98,0.28,-0.71,-0.79,-0.67,0.16,-0.24,-0.53,0.28,0.26,0.36,0.64,1,0.08,-0.35,0.59
"V17",-0.31,0.07,-0.2,-0.21,0.38,-0.59,-0.27,-0.49,-0.56,0.19,-0.14,-0.13,-0.12,0.67,0.04,0.08,1,0.32,-0.1
"V18",0.33,0.6,0.35,0.39,-0.01,0.26,0.28,0.26,-0.67,-0.39,0.13,-0.75,-0.65,0.05,-0.08,-0.35,0.32,1,-0.67
"V19",-0.55,-0.89,-0.78,-0.58,-0.1,-0.69,-0.78,-0.3,0.75,0.18,-0.49,0.58,0.45,0.21,0.74,0.59,-0.1,-0.67,1
