,Navegadores,LOC (Média por pacote),L(Groovy),L(HTML),L(J),L(KT),L(XML),LOC,AIF (%),CF (%),MHF (%),MIF (%),PF (%),CBO - Média,DIT – Média,LCOM – Média,NOC – Média,RFC – Média,WMC – Média,Classes
0,Brave,2183.98,0.0,234131.0,789353.0,0.0,47184.0,5134012.0,57.11,0.28,47.8,41.13,22.91,8.19,1.22,1.89,0.3,17.57,12.17,Seguranca
1,Chromium,3222.0,676.0,20372.0,931392.0,0.0,32432.0,1672676.0,55.06,0.25,47.4,40.93,23.33,8.38,1.23,1.93,0.3,17.72,12.26,Tradicional
2,Cliqz,615.48,1271.0,442.0,32752.0,625.0,11837.0,581519.0,77.84,3.87,45.76,14.84,129.76,6.09,1.56,1.2,0.15,15.91,8.7,Privacidade
3,Ducky Browser,484.83,214.0,0.0,0.0,31939.0,10374.0,76184.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,Privacidade
4,Fennec F-Droid,671.7,233.0,132.0,38844.0,0.0,37271.0,83818.0,79.69,6.53,48.48,19.14,74.94,9.84,2.46,1.79,0.25,24.84,17.04,Tradicional
5,Firefox,1694.58,1222.0,17040.0,427060.0,9023.0,28881.0,562817.0,28.48,0.46,44.47,36.91,27.47,9.54,1.6,1.75,0.34,15.18,14.55,Seguranca
6,Firefox Focus,457.94,576.0,2437.0,9233.0,14896.0,30069.0,101627.0,75.49,11.76,41.32,10.91,103.32,4.38,1.47,1.66,0.25,24.42,10.09,Tradicional
7,Firefox Nightly,555.67,417.0,128.0,0.0,4338.0,609.0,17422.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,Privacidade
8,FLOSS Browser,525.44,33.0,0.0,8501.0,0.0,8428.0,66428.0,87.93,18.32,36.92,0.62,935.9,7.27,2.74,2.04,0.03,26.09,14.87,Tradicional
9,IceCatMobile,1533.1,782.0,15907.0,382503.0,1500.0,26060.0,491065.0,29.79,0.47,43.52,39.78,27.67,9.33,1.64,1.74,0.36,14.58,13.99,Seguranca
10,Iridium Browser,1640.25,476.0,20363.0,872641.0,0.0,27854.0,1603918.0,56.73,0.27,47.91,39.74,25.68,9.86,1.52,2.34,0.37,18.09,15.16,Tradicional
11,JumpGo Browser,386.09,162.0,0.0,18683.0,1171.0,7265.0,96136.0,72.76,15.13,47.29,18.2,178.33,13.36,3.93,3.63,0.75,50.31,38.69,Tradicional
